GuHCL,CTPR2-A Normalised 1SB
0,
0.1068,
0.2136,0.029369811
0.3204,-0.002154591
0.4272,0.008418457
0.534,-0.002144326
0.6408,
0.7476,-0.006735723
0.8544,0.022198572
0.9612,0.000588817
1.068,0.006204181
1.1748,0.018325817
1.2816,0.055504135
1.3884,0.058610993
1.4952,0.085777122
1.602,0.156681588
1.7088,0.203467056
1.8156,0.3350399
1.9224,0.44963733
2.0292,0.552848462
2.136,0.633407096
2.2428,0.719836924
2.3496,0.781193787
2.4564,0.85198145
2.5632,0.894514958
2.67,0.922876066
2.7768,0.949392078
2.8836,0.965946611
2.9904,0.98062446
3.0972,0.988331679
3.204,0.990837495
3.3108,0.987970868
3.4176,0.995567504
3.5244,1.00208891
3.6312,1.003473668
3.738,1.001467242
3.8448,0.999024904
3.9516,1.00486908
4.0584,0.998661427
4.1652,1.000355856
4.272,0.999605096
4.3788,0.998681332
4.4856,1.002854982
4.5924,0.998320354
4.6992,1.006577722
4.806,
4.9128,1.00062592
5.0196,0.999679823
5.1264,0.998401234
5.2332,1.003242845
5.34,0.991610234
5.4468,1.000920396
5.5536,0.996577982
5.6604,1.000486209
5.7672,1.001735405
5.874,1.001558288
5.9808,0.997674181
6.0876,0.997097654
6.1944,0.988130145
6.3012,0.995886671
