GuHCL,CTPR3 Normalised 1SB
0,
0.10653,0.003325189
0.21307,0.028455694
0.3196,-0.007044001
0.42613,0.016226486
0.53267,
0.6392,0.010100083
0.74573,-0.008291047
0.85227,0.01515391
0.9588,-0.0138963
1.0653,0.024515844
1.1719,-0.036323396
1.2784,0.004295291
1.3849,-0.010976639
1.4915,-0.02667825
1.598,0.030328038
1.7045,-0.015225296
1.8111,0.020049479
1.9176,-0.021432495
2.0241,-0.015676336
2.1307,-0.03022543
2.2372,0.022966512
2.3437,0.023385923
2.4503,0.02675798
2.5568,
2.6633,0.038458719
2.7699,0.039471889
2.8764,0.08621431
2.9829,0.1411789
3.0895,0.228644108
3.196,0.330038977
3.3025,0.51678756
3.4091,0.691904224
3.5156,0.815820877
3.6221,0.920697123
3.7287,0.930817831
3.8352,0.965037428
3.9417,0.979282355
4.0483,0.997785504
4.1548,0.999775642
4.2613,0.991062823
4.3679,0.998672704
4.4744,1.000190479
4.5809,0.997702082
4.6875,0.996305779
4.794,0.98784113
4.9005,1.006547205
5.0071,1.007692715
5.1136,0.996608052
5.2201,1.003598322
5.3267,0.989137974
5.4332,1.004815173
5.5397,1.004469197
5.6463,1.006413718
5.7528,1.004853601
5.8593,0.995942383
5.9659,0.992870463
6.0724,1.002384676
6.1789,0.997883108
6.2855,1.002593022
