[GuHCl],CTPR3-A Normalised 1SB
0,
0.1072,0.02577241
0.2144,0.035442084
0.3216,0.017618669
0.4288,0.019064433
0.536,0.046700633
0.6432,0.010444581
0.7504,0.017361419
0.8576,0.004390777
0.9648,0.010744615
1.072,-0.003823133
1.1792,0.005337867
1.2864,0.008512498
1.3936,4.0691E-05
1.5008,-0.004519802
1.608,-0.009088507
1.7152,-0.0029898
1.8224,0.004728603
1.9296,0.018777958
2.0368,0.069115051
2.144,0.066837343
2.2512,0.068838164
2.3584,0.084584622
2.4656,0.112667585
2.5728,0.145858177
2.68,0.20397079
2.7872,0.285970245
2.8944,0.394179751
3.0016,0.507203657
3.1088,0.627999972
3.216,0.763093043
3.3232,0.81801893
3.4304,0.890031884
3.5376,0.927881979
3.6448,0.94955746
3.752,0.88838548
3.8592,0.979155007
3.9664,0.979206681
4.0736,0.989552625
4.1808,0.994831547
4.288,0.994861936
4.3952,0.999158586
4.5024,0.996983233
4.6096,0.994534078
4.7168,1.001253317
4.824,0.992886588
4.9312,1.000334637
5.0384,0.991205118
5.1456,0.999681363
5.2528,1.003609105
5.36,0.997743147
5.4672,0.999251626
5.5744,0.997187088
5.6816,1.000600992
5.7888,1.000928358
5.896,1.005581899
6.0032,1.004523991
6.1104,0.996740948
6.2176,1.001279833
6.3248,1.005268716
