GuHCL,CTPR3 Normalised 1SB
0,
0.10427,
0.20853,0.034052392
0.3128,0.031794148
0.41707,0.025957247
0.52133,0.004892151
0.6256,0.040110698
0.72987,0.007626464
0.83413,
0.9384,0.0175811
1.0427,-0.036560069
1.1469,0.024221886
1.2512,-0.006937467
1.3555,0.016902039
1.4597,-0.00142216
1.564,0.000161733
1.6683,-0.005062242
1.7725,-0.030344516
1.8768,-0.016167313
1.9811,0.004836114
2.0853,0.029138582
2.1896,-0.00917088
2.2939,0.050117054
2.3981,-0.000652162
2.5024,0.065390484
2.6067,0.059327253
2.7109,0.07082309
2.8152,0.080211932
2.9195,0.114005179
3.0237,0.141763212
3.128,0.246385543
3.2323,0.334718792
3.3365,0.497840545
3.4408,0.58009372
3.5451,0.750936357
3.6493,0.814734086
3.7536,0.916659237
3.8579,0.934645693
3.9621,0.94564976
4.0664,0.953820388
4.1707,0.993207553
4.2749,0.980713954
4.3792,0.988390718
4.4835,0.991195192
4.5877,0.989729849
4.692,0.991224066
4.7963,1.017780275
4.9005,1.01068207
5.0048,1.006473387
5.1091,1.007057752
5.2133,0.995006814
5.3176,1.009863306
5.4219,1.00549106
5.5261,0.990950186
5.6304,1.004198102
5.7347,0.991353638
5.8389,1.005375357
5.9432,0.985711019
6.0475,1.0043936
