GuHCL,H3 0SB Norm
0,0.031067856
0.106,
0.212,0.010521776
0.318,
0.424,0.002289031
0.53,
0.636,-0.021073423
0.742,
0.848,-0.041169523
0.954,0.024624806
1.06,-0.015713928
1.166,-0.004931785
1.272,0.032747386
1.378,-0.003880848
1.484,0.050344338
1.59,0.103932817
1.696,0.158993727
1.802,0.188862655
1.908,0.183258956
2.014,0.240496898
2.12,0.339168138
2.226,0.431679852
2.332,0.507593776
2.438,0.630982433
2.544,0.747746038
2.65,0.805087274
2.756,0.855974734
2.862,0.907980593
2.968,0.951089382
3.074,0.958139586
3.18,0.971602323
3.286,0.971397978
3.392,0.985334351
3.498,0.976913184
3.604,0.986203711
3.71,0.96653859
3.816,0.976069564
3.922,0.977013694
4.028,0.998318589
4.134,1.001752251
4.24,0.996536563
4.346,1.005691874
4.452,1.007662358
4.558,1.002659898
4.664,1.010020845
4.77,0.998987455
4.876,1.002430191
4.982,1.004509071
5.088,0.996232924
5.194,0.998299495
5.3,
5.406,1.000903979
5.512,
5.618,1.003596778
5.724,
5.83,0.997432695
5.936,
6.042,1.007472854
6.148,
6.254,
6.36,
6.466,
6.572,
6.678,
6.784,
6.89,
6.996,
7.066667,
